,Age,Foward,Midfielder,Defender,Goals,Assists,npxG+xA,Passes Completed,Key Passes,Passes into Final Third,Live-ball passes,Through Balls,Ground passes,Shot-Creating Actions,Goal-Creating Actions,Tackles Won,Dribblers Tackled,% of dribblers tackled,Successful Pressures,Successful Pressure %,Blocks,Dribbles Completed,Progressive Carries,Dispossessed,Ball Recoveries,Market value
312,28,0,0,1,0.0,0.0,0.1,44.7,0.2,2.9,52.7,0.1,37.1,0.8,0.2,1.3,0.8,0.615,3.2,0.368,1.3,0.2,1.8,0.0,7.7,7.5
313,28,0,0,1,0.05,0.0,0.06,41.29,0.02,1.9,45.08,0.05,32.91,0.22,0.0,0.6,0.36,0.385,1.92,0.35700000000000004,1.66,0.12,0.91,0.02,6.82,25.0
314,21,0,1,0,0.12,0.14,0.24,25.74,1.07,2.22,30.72,0.03,22.14,2.48,0.35,1.67,0.69,0.247,6.25,0.255,1.96,1.35,3.2,1.67,9.27,15.0
315,28,0,0,1,0.0,0.12,0.15,31.35,1.06,3.12,33.53,0.0,19.59,1.82,0.24,1.35,1.41,0.585,4.0,0.37,1.88,0.35,2.71,0.71,7.47,2.5
316,27,0,1,0,0.1,0.1,0.22,56.17,0.81,8.15,63.42,0.3,51.75,1.81,0.2,1.31,0.81,0.33299999999999996,5.74,0.28800000000000003,1.71,0.5,3.62,0.6,11.28,15.0
317,31,0,0,1,0.12,0.0,0.1,31.51,0.09,2.22,36.11,0.0,26.41,0.38,0.0,0.58,0.2,0.389,2.01,0.312,1.66,0.03,1.34,0.06,7.11,3.0
318,35,0,0,1,0.0,0.42,0.3,32.85,1.81,3.71,36.84,0.0,19.99,3.15,0.51,1.25,1.21,0.65,3.8,0.325,1.35,1.39,7.33,1.02,7.42,2.0
319,23,0,0,1,0.06,0.03,0.08,40.84,0.23,2.1,43.72,0.03,34.85,0.81,0.13,1.62,0.52,0.32,5.57,0.35100000000000003,1.84,0.23,2.75,0.39,11.33,35.0
320,30,1,0,0,0.22,0.22,0.43,28.24,1.76,1.32,35.65,0.15,27.29,3.74,0.44,0.59,0.81,0.33299999999999996,3.74,0.243,1.32,1.61,5.72,0.95,6.09,7.5
321,29,0,0,1,0.05,0.05,0.21,45.47,1.54,3.32,46.48,0.0,33.71,2.58,0.19,0.6,0.6,0.431,2.45,0.285,1.54,0.44,4.29,0.11,6.13,9.0
